,alligator,apple,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,cat,chair,clock,closet,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,egg,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hand,hat,horse,hose,jar,knife,ladder,lamp,milk,mitten,motorcycle,muffin,napkin,necklace,orange,oven,pajamas,paper,pen,pencil,pillow,pizza,plant,plate,pony,pumpkin,purse,refrigerator,rooster,scissors,shirt,shoe,shovel,sink,slipper,soup,spoon,table,tape,toe,towel,toy,tray,vacuum,watch,window
bread,1.0236171,1.1429248,1.1064041,1.153224,1.261486,0.92132646,0.9686889,0.9487477,1.2483069,1.1165831,0.9446221,1.1330795,1.0255312,1.2338768,0.949547,1.1124052,1.0200044,0.4837982,0.0,1.2652283,0.6107638,1.2038727,1.0386435,1.0225457,1.0767381,1.213433,1.1829076,0.9818063,1.0456935,0.30226612,1.268281,1.0348985,0.7835812,0.9165727,1.0464666,1.0382133,1.1749384,0.9718253,1.2573696,0.97670186,1.0937796,1.1233692,0.9447479,0.86982185,1.074565,0.9696982,1.2205856,1.2330174,1.0788625,0.9539861,0.9529791,1.3497082,1.2198386,1.0150614,0.38459778,0.89827317,0.96082735,1.0916518,0.89092386,0.8464713,1.0420549,0.6364133,0.9145242,1.14429,1.2174021,1.0936327,0.9921465,1.0755379,1.2814888,1.3141344,1.1383637,0.94735104,0.9477595,1.0639036,1.160051,1.0071924,1.130634,0.9867085,1.1669449,1.296815,0.94884163,1.2346536,0.65131986,1.2006679,1.1756239,0.9193985,0.60856503,0.84946245,1.1109246,1.1319969,0.9949205,1.0951865,0.94015163,1.2742741,1.2650168,1.0734991
broom,1.0881133,1.0264943,1.0952076,1.0210093,0.9252363,1.1138834,1.1013759,1.1458719,0.87596846,0.88545674,1.0568881,0.7581241,1.1104177,0.92340314,1.2155484,1.083896,1.0533569,1.3730156,1.2652283,0.0,1.2200531,0.8834449,0.7795153,1.2123513,0.9657235,0.8881186,0.84059644,1.098568,1.0853902,1.2054995,0.7457882,1.0283616,1.047911,1.1179221,1.2051591,1.170819,0.7103157,0.9195282,0.9026971,1.1792057,0.74217427,0.98364717,1.0141195,1.0250067,1.1341681,1.2379762,0.8049545,0.9647201,0.8248453,1.1901395,0.96081394,0.85875595,0.82795334,0.91727585,1.2258046,0.7439399,0.9874855,0.9095653,1.2126634,1.1142256,1.1593657,1.0456545,1.1255366,0.82442796,0.8777155,0.86668706,1.0034814,1.0649434,0.76870096,0.57400835,0.82688296,1.046506,1.0930667,0.90506864,0.7618911,1.003988,1.0346861,1.0311725,0.85978913,0.7998889,1.1831206,0.8515571,1.0566263,0.967625,0.71725625,0.8722384,1.0326039,1.2411044,0.8375082,0.6863922,1.1065233,1.1515219,1.2190595,0.59084255,0.7317908,0.93637264
bucket,1.0998628,1.0110575,0.8842345,1.0276073,1.2675445,0.80499417,1.1099746,1.0756346,1.3325727,1.2267178,0.990896,1.1541653,1.0235543,0.91015685,1.0699352,0.80708903,0.7692872,0.72045267,0.6107638,1.2200531,0.0,1.2254676,0.8517485,0.98046577,1.123503,0.96877855,1.0204829,1.0461082,1.137769,0.7895285,1.2562633,0.92974436,0.6041647,0.78792006,1.002769,0.9559622,1.1045302,1.1718324,1.1628251,0.9478652,1.23227,1.4418283,1.1441301,0.8060901,1.0339806,0.92646295,0.9183531,1.2769797,1.073863,1.0985526,1.1501162,1.1921184,1.1355183,1.0003096,0.40731728,1.1695443,1.0451343,0.9245633,0.22053957,1.04178,0.8469796,0.6879682,0.83129287,1.1517646,1.1506534,0.7648934,1.2432082,1.1141952,1.2348524,1.296314,1.3323305,0.9650355,0.9441649,0.89799875,1.1254708,0.8264771,0.88153166,0.74480784,1.1890693,1.3186538,1.0914798,1.1170018,1.0149095,1.1557636,1.3887343,1.255417,0.80031806,0.9320197,1.0850456,1.3370302,1.093118,0.89241195,1.0603514,1.0802753,1.3765008,1.0458794
butterfly,0.8895202,0.88720715,1.0141851,1.0024028,0.7017975,1.1251534,1.2001774,1.2054883,0.8039994,0.9996472,1.2130885,0.6838045,1.2067391,0.7263875,1.1756506,1.073991,0.97838897,1.2628872,1.2038727,0.8834449,1.2254676,0.0,0.91829044,0.9814086,0.85434747,1.003816,0.89221686,1.1222491,1.210979,1.3088677,0.80439997,1.2169878,1.0946492,1.215118,0.88978654,0.9319915,0.9529176,0.9126684,0.8570907,1.0395963,1.0637201,1.023487,0.9584966,1.1773634,0.7404963,1.225882,0.84194857,0.95945495,1.0772247,1.1980323,1.1671298,0.7405758,0.87572086,1.1195556,1.2220361,0.7792345,1.1181862,1.1042023,1.1556202,1.1955626,0.8302171,1.0777763,0.9382847,0.8302563,0.9035099,0.9298165,1.0609598,0.83673567,0.875715,0.9089403,1.0081644,1.1907495,1.0315212,0.97008204,0.6201397,1.028677,0.91962194,1.0896567,0.64482164,0.5977049,1.1999435,0.7845664,0.9309062,0.9346963,0.9132776,0.8236892,0.9978486,1.1894618,0.8722874,1.0785398,1.0879915,0.9021783,1.1313702,0.8480567,0.99472433,1.0963049
can,1.110777,0.9430428,1.2376884,1.1727147,0.78029,1.0249277,1.2412081,1.321672,0.58332586,0.880425,1.2675763,0.85672843,1.3171408,0.9175527,1.2412238,0.6476588,0.62499374,1.1401939,1.0386435,0.7795153,0.8517485,0.91829044,0.0,1.033971,1.1603899,0.59541196,0.83491683,1.1922243,1.2187355,1.1377665,0.5219571,1.1455721,0.24469149,1.1681819,1.3432672,1.1569874,0.5514524,0.93375283,0.67689395,1.1027415,0.87025297,1.0956012,1.1735852,1.1793826,1.1967533,1.2966025,0.9046346,0.7515299,1.1509849,1.3310986,1.2506633,0.7084437,0.5488908,1.2334471,0.95554507,0.74499315,1.1265554,0.95453477,1.0439487,1.2731391,1.1661317,0.92979884,1.0772798,0.9983849,0.6892617,0.7457763,1.3153799,0.74595386,0.6007209,0.6637522,0.9395627,1.0947279,1.1581255,0.78938127,0.8629133,1.1065763,1.0402721,0.90199244,0.9807432,0.8324652,1.3048701,0.892105,1.169618,0.5845763,0.9075891,0.9149933,0.9803125,1.3016824,0.6485099,0.84169734,1.2987471,1.1750984,1.223904,0.47485125,0.7316289,1.0568762
car,0.8773962,0.9338856,0.9445169,1.0115132,0.93878055,0.9859096,1.2048309,1.2296565,1.008483,1.1615498,1.1196877,1.0488132,1.1248591,0.73249763,0.79150516,0.9125766,0.8918999,0.9071782,1.0225457,1.2123513,0.98046577,0.9814086,1.033971,0.0,1.0802792,0.9887637,1.132783,1.1786809,1.2346699,1.063661,1.0080395,1.102027,0.95368356,0.90176517,0.6849319,0.5919823,1.0454208,1.0514371,0.9738978,0.832273,1.1560445,1.1888742,1.0832801,1.0464466,0.58270526,0.99386466,1.0056927,1.1072588,1.0995327,1.1383879,1.1170936,0.81120455,0.9118303,1.1064963,1.0083741,1.0946587,1.1173171,1.122369,0.92623514,1.0841885,0.4597162,1.0284258,1.0123683,1.1261566,0.96731126,0.88561296,1.1787162,1.0735209,0.9629436,1.0584246,1.211832,1.0839238,0.99994725,0.9895208,0.9776673,1.0097662,1.0008279,0.86892915,1.0926075,0.95952874,1.1452239,1.0601741,1.1403873,0.9234885,1.2636341,1.1645732,1.0163229,0.9501196,1.0841341,1.1668315,1.159744,0.5525652,0.8989033,0.9722425,1.104616,1.0375293
cat,0.93400717,0.9437797,0.89538413,0.8811282,0.9635841,1.0795183,1.0623852,1.0717417,1.0062658,0.8311224,1.0430502,0.8422435,1.0089719,0.9697236,1.1776397,1.2443544,1.1516304,1.1366884,1.0767381,0.9657235,1.123503,0.85434747,1.1603899,1.0802792,0.0,0.96866393,1.0363859,1.0367191,0.9276059,1.0826519,1.0338513,1.0282471,1.2385247,1.133826,0.81279254,1.1812164,0.9503329,1.0533272,1.0986265,1.131404,0.95881224,0.92820233,0.5565965,1.1621134,1.0800256,1.1123937,1.0547171,0.9913245,0.7830055,1.0271865,1.0002382,1.0872214,1.092184,0.93330765,1.1270795,1.0315561,1.0468405,1.0513333,1.1083494,0.9731314,1.1528358,1.0333334,0.9802006,0.8699807,1.0834749,1.0260435,0.9169725,1.0874064,1.1218772,1.0345083,0.8238627,1.0411845,0.8125167,1.0328285,0.5678477,0.9464984,0.8148247,1.0706992,0.21599674,0.92115635,1.1159655,0.9220138,0.93184876,1.0523287,0.8930253,0.8448199,1.1005714,1.1249095,1.057548,0.86903334,0.9397081,1.1591667,1.1060113,1.0008043,1.0852802,0.9334606
chair,1.1209077,1.1074389,1.1689343,1.1060904,0.95039606,0.7987741,1.0350324,0.9986389,0.61692274,0.5632159,1.232448,0.89802355,1.0962408,0.98306334,1.1630467,0.75901306,0.8607471,1.0642489,1.213433,0.8881186,0.96877855,1.003816,0.59541196,0.9887637,0.96866393,0.0,1.0040421,0.8855825,0.7936648,1.1652784,0.7442154,0.75702125,0.8291963,1.2549914,1.2627232,1.249168,0.44602966,0.96953297,0.929916,1.184069,1.0324349,1.0310862,1.0695597,1.1337166,1.2606494,1.277427,0.9857002,0.79490423,1.0757135,1.1678687,1.172379,0.8527233,0.688067,1.1086869,1.2217212,1.0092216,0.6817835,0.99534714,0.93615454,1.1761647,1.0764264,1.1183013,1.0816245,1.0764111,0.9168329,0.5938282,1.2033284,0.7957458,0.7672923,0.81501603,0.75687826,1.0540992,1.0557498,0.9788633,0.7943816,1.1759251,0.9913041,0.69451827,0.8421994,0.88936126,1.1401347,0.9334029,1.2009472,0.6041091,0.93251973,1.0288391,1.224903,1.2175887,0.9334674,0.92852706,1.1599154,1.2071797,1.2602639,0.5429837,0.86086917,0.8149278
clock,1.0360755,0.7771539,0.96529394,0.9128827,0.8563969,1.1530577,1.1168063,1.1994883,0.85584366,1.1800957,1.0907954,0.88576424,1.2816087,0.8168632,1.2740426,0.9306381,0.8513038,1.3535936,1.1829076,0.84059644,1.0204829,0.89221686,0.83491683,1.132783,1.0363859,1.0040421,0.0,1.3011887,1.2572852,1.2357779,0.7777666,1.1728168,0.98560363,1.0960357,1.0882112,1.0444537,0.7704665,1.0890208,0.7013821,1.1000755,0.8502743,1.1271883,0.9574983,0.86120105,1.1233097,1.1617234,0.9452511,1.0287132,0.9787039,1.1483868,1.2024729,0.84237635,0.77955097,1.2132424,1.1902465,0.81386805,1.1855155,0.6603652,0.8740031,1.1225612,1.0820638,1.0429046,0.9168231,0.4717465,0.72843385,0.88170683,1.1934223,0.78220034,0.798455,0.75195384,1.0554974,1.0440853,1.0067112,0.80108553,0.9653744,0.85599256,0.98686665,1.0031039,0.9053824,0.8758792,1.1393135,0.891189,1.0505935,0.97638136,0.9026215,0.86080575,0.964824,1.2972184,0.64429575,0.90768087,1.2247865,1.0720431,1.2182856,0.95226324,0.81718206,0.9742956
closet,1.123699,1.3134499,1.0499824,1.0687146,1.329887,0.7135763,0.56393206,0.49528491,1.2002103,0.6579768,0.78975457,1.2179824,0.5482111,1.291509,0.89793694,1.1965878,1.3609414,0.624958,0.9818063,1.098568,1.0461082,1.1222491,1.1922243,1.1786809,1.0367191,0.8855825,1.3011887,0.0,0.46268862,0.90412676,1.3039627,0.5426768,1.1757622,1.0750667,1.1225243,1.250612,0.99648094,1.0095633,1.3267145,1.1497025,1.180918,0.84228504,0.9111788,1.0009654,1.2498811,0.83712727,1.1583853,0.85849094,1.0170463,0.6501198,0.894324,1.398622,1.2467405,0.82250434,0.89971113,1.315408,0.47522795,1.0652571,1.0825671,0.8525276,1.1399406,1.0888112,1.1478455,1.214305,1.3630618,0.98696977,0.59925157,1.1862205,1.3331532,1.3478378,0.85053754,0.9652496,0.8431127,1.2743136,1.0825039,1.2043433,0.93546045,0.8122314,1.092822,1.2342848,0.64560395,1.1199791,0.95232135,1.163478,1.0479093,1.081411,1.2038848,0.795392,1.3517108,1.1050016,0.74835944,1.2231288,0.9587012,1.0410602,1.2362114,0.7482239
couch,1.0863186,1.3781618,1.0283047,1.0478039,1.4064422,0.78507423,0.45531636,0.23432201,1.1509602,0.47718787,0.71266603,1.2769977,0.49690932,1.3627027,0.86305046,1.234069,1.3678969,0.69121885,1.0456935,1.0853902,1.137769,1.210979,1.2187355,1.2346699,0.9276059,0.7936648,1.2572852,0.46268862,0.0,0.8639499,1.333312,0.56482863,1.243473,0.9735966,1.0868798,1.2609532,0.9816242,1.0031604,1.3493632,1.1517853,1.1498549,0.78245306,0.88127005,1.0255158,1.3050478,0.7772385,1.218246,0.94126964,0.96451634,0.6771226,0.8161566,1.4517052,1.3235434,0.6509713,0.99014944,1.3319434,0.490811,0.97969824,1.1508278,0.74417865,1.1805959,1.1107311,1.1655817,1.1851443,1.3953414,1.0827677,0.6509854,1.1652281,1.3642945,1.3158928,0.6585008,0.94632775,0.82558525,1.1645515,1.1728141,1.2706473,1.041775,1.0138149,1.0454316,1.3164458,0.62080085,1.1321329,0.97182196,1.1506345,1.0268192,1.0917876,1.2721856,0.6612624,1.3432462,1.0706708,0.7652359,1.2620765,0.90768033,1.1093203,1.1423405,0.71432006
cracker,1.1009144,1.2202201,1.0828578,1.1134579,1.2791009,0.8595431,0.9178887,0.8394094,1.259591,1.0588164,0.62754154,1.2067001,0.85588896,1.3339474,1.0162584,1.1986163,1.1428663,0.61556983,0.30226612,1.2054995,0.7895285,1.3088677,1.1377665,1.063661,1.0826519,1.1652784,1.2357779,0.90412676,0.8639499,0.0,1.3183107,0.9258116,0.9861512,0.9014594,1.0757861,1.1030076,1.168758,0.94048357,1.2962923,1.0497429,1.0326679,1.0012699,0.89333797,0.9605593,1.1911356,0.94465655,1.2511879,1.0442512,1.0447676,0.83941805,0.91208184,1.3490932,1.2266257,0.96002185,0.6231665,0.9818123,0.86865234,1.0183145,0.97055453,0.44846398,1.1582944,0.82134956,0.95940644,1.0504946,1.2511516,1.2220126,0.7870358,1.1571741,1.3215097,1.2858026,0.97663486,0.90743315,0.96371615,1.0787565,1.1519672,1.0987817,1.0722318,1.0394176,1.1870286,1.3083935,0.8595787,1.1725125,0.73032904,1.2824342,1.0797567,0.91693705,0.79984343,0.9036666,1.135395,1.0067985,0.82689685,1.1802912,0.9544951,1.269856,1.1590283,1.0306445
crayon,1.0168402,0.7598088,1.2055944,1.0229876,0.44468784,1.2329223,1.2656573,1.3928406,0.4376558,0.9478119,1.3324974,0.6966231,1.3319092,0.75707835,1.1981407,0.4987517,0.7383281,1.4838985,1.268281,0.7457882,1.2562633,0.80439997,0.5219571,1.0080395,1.0338513,0.7442154,0.7777666,1.3039627,1.333312,1.3183107,0.0,1.3312178,0.6944415,1.2386316,1.2584918,1.115394,0.6575226,0.9266184,0.41664255,1.102389,0.7309252,0.8347097,1.1561862,1.1540425,1.0366862,1.3124355,0.9824157,0.6027849,1.026439,1.2702001,1.2481338,0.45763153,0.41818118,1.2831624,1.3284622,0.715232,1.316796,1.0337318,1.1631444,1.2763895,1.181244,1.2384057,1.0760978,0.89032704,0.44207895,0.9642385,1.2646334,0.5369771,0.29587156,0.43609506,0.992044,1.167406,1.219095,0.7215368,0.82513076,1.0944928,1.1256396,1.0974587,0.8186201,0.6430946,1.2911034,0.94789326,1.2345085,0.3675149,0.72262585,0.9123269,1.0870233,1.4103906,0.7068077,0.6699918,1.3176985,1.1757572,1.1995041,0.5604044,0.49109125,1.144007
crib,1.0753921,1.3729017,1.0974644,1.1166697,1.4062774,0.323591,0.6045622,0.5188505,1.1241798,0.6489531,0.82889915,1.2231964,0.6751561,1.1369971,0.96038276,1.14803,1.2642739,0.69741786,1.0348985,1.0283616,0.92974436,1.2169878,1.1455721,1.102027,1.0282471,0.75702125,1.1728168,0.5426768,0.56482863,0.9258116,1.3312178,0.0,1.1248684,0.8941347,1.0624644,1.1932689,0.8656188,1.1237382,1.416729,1.2090985,1.252675,1.0215428,0.9827099,0.88808376,1.2188329,0.80988824,1.0949475,1.1408358,1.0172818,0.8211758,0.91721404,1.4420491,1.2976303,0.7771385,0.86226064,1.25036,0.3895309,0.94454485,0.97235346,0.85223675,1.0269576,1.0102185,1.1008463,1.1520597,1.4068518,0.9085021,0.85877717,1.225134,1.3097237,1.2713798,0.89139366,0.83330166,0.8177018,1.0507424,1.0727702,1.207212,1.0374525,0.6658683,1.1605504,1.2809842,0.79164004,1.0666399,0.9943374,1.1238636,1.2933605,1.2481071,1.1236328,0.7641605,1.34351,1.1957643,0.83717227,1.1741794,1.0736461,1.0088195,1.2545927,0.5362222
cup,1.0930027,0.9468598,1.2017249,1.2239872,0.8851724,0.9674713,1.2332317,1.2616186,0.85548425,1.1569933,1.2065398,0.9736715,1.2028701,0.87493426,1.1288273,0.4178189,0.4864958,0.97535896,0.7835812,1.047911,0.6041647,1.0946492,0.24469149,0.95368356,1.2385247,0.8291963,0.98560363,1.1757622,1.243473,0.9861512,0.6944415,1.1248684,0.0,1.0128902,1.2454109,1.0542055,0.85231906,1.0838346,0.75803876,1.0393049,1.0818508,1.1106676,1.2612123,1.0520335,1.1359963,1.1242203,0.9451678,0.849651,1.1898063,1.2207634,1.2589992,0.7875282,0.61388004,1.2382687,0.56798375,0.91579545,1.1650481,1.0356457,0.87413895,1.1872547,1.0465282,0.7196174,1.0776931,1.1769547,0.7404562,0.8067425,1.3285205,0.8785523,0.6372326,0.93869513,1.29171,1.1030267,1.0444186,0.8764037,1.010713,1.0361838,1.0569158,0.80005056,1.1134617,1.0216311,1.2497398,0.9515039,1.1385992,0.6453292,1.221898,1.1131835,0.8240037,1.0921332,0.871043,1.0974652,1.2994752,1.0948596,1.1626945,0.64680624,0.8530749,1.1119734
dish,1.1183493,1.1592665,0.70095015,0.81356114,1.2923267,0.97543555,0.92993206,0.9269022,1.3681512,1.1624397,0.8944227,1.1720351,0.8846128,1.0579472,0.7532146,1.1026906,1.0268054,0.7917001,0.9165727,1.1179221,0.78792006,1.215118,1.1681819,0.90176517,1.133826,1.2549914,1.0960357,1.0750667,0.9735966,0.9014594,1.2386316,0.8941347,1.0128902,0.0,0.87589365,0.8268875,1.2816628,1.0601681,1.2833006,0.7264589,1.1876676,1.222122,1.1155498,0.8719201,0.77751726,0.6380521,1.0365835,1.2451837,0.91406476,0.89416206,0.92060065,1.1688321,1.3107028,0.8053169,0.87212837,1.3039165,1.029278,0.9193584,0.84036857,0.9947945,0.8678147,1.0856767,1.023177,1.1329402,1.3044399,1.0827733,1.0391896,1.2988353,1.2762849,1.2364749,1.228047,0.99090314,1.050486,0.46529365,1.2434825,1.0231831,0.8913609,1.0244206,1.2856236,1.3108381,0.8952539,1.2594187,1.104836,1.2005887,1.329111,1.3067166,1.0065973,0.66726756,1.1078846,1.2581252,0.99650824,0.72328854,0.49171656,1.1905582,1.2565627,1.0025611
dog,0.81294805,0.9362971,0.731315,0.9122823,1.1272004,1.0257486,1.1246831,1.0815305,1.3509007,1.222493,0.9464574,1.0374206,0.98625004,0.89108896,0.7782036,1.2222385,1.2176975,0.9061893,1.0464666,1.2051591,1.002769,0.88978654,1.3432672,0.6849319,0.81279254,1.2627232,1.0882112,1.1225243,1.0868798,1.0757861,1.2584918,1.0624644,1.2454109,0.87589365,0.0,0.23443699,1.2662127,1.0828071,1.1199739,0.6936346,1.1957912,1.2076308,0.96891475,1.0237559,0.39087522,0.9291557,0.8944545,1.2077345,1.007888,0.93274635,1.033827,0.9833193,1.2045391,0.9565196,1.0221572,1.232471,1.0981966,1.1653696,0.93177557,0.9290423,0.5751129,1.03557,1.0095696,1.0363598,1.1377358,1.042078,0.9257962,1.263768,1.2664429,1.281019,1.1702121,1.0419328,0.94616467,1.1305411,0.9039426,0.9087597,0.9160671,1.0386012,0.99128395,1.0971565,1.0237697,0.95056456,1.0720989,1.2761734,1.2360743,1.1442852,1.0712366,0.8453773,1.1750698,1.2629526,0.95071226,0.30839026,0.8365611,1.195702,1.302678,1.0969334
doll,0.8644337,0.8709331,0.809257,0.99313414,1.0677483,1.0987312,1.2096916,1.198436,1.2589805,1.3504403,1.0762928,1.033959,1.1282079,0.7643789,0.6451469,1.0485775,1.0890232,0.927198,1.0382133,1.170819,0.9559622,0.9319915,1.1569874,0.5919823,1.1812164,1.249168,1.0444537,1.250612,1.2609532,1.1030076,1.115394,1.1932689,1.0542055,0.8268875,0.23443699,0.0,1.2302598,0.95858604,0.9544946,0.5443974,1.1474965,1.2997842,1.2355869,0.96922714,0.3042109,0.9290753,0.8610393,1.214239,1.1422391,1.0316547,1.0778258,0.7497955,1.0745593,1.0851284,1.0172212,1.135336,1.1635479,1.1428332,0.8926729,1.039503,0.48950046,1.0093558,1.0564492,1.0820547,0.97452056,1.0110241,1.1591096,1.1685228,1.0959489,1.1149321,1.3046939,1.0578775,1.1065218,1.1104845,1.0432081,0.8781166,1.038002,1.0056742,1.2726598,1.0955875,1.0934575,0.9598988,1.1325946,1.1648217,1.2265582,1.2025516,1.0091362,0.8502002,1.1049652,1.2483407,1.1388183,0.12892574,0.73401093,1.1199459,1.1912496,1.203755
door,1.1050885,1.1060352,1.2235892,1.0884342,0.96041083,0.9323257,1.032057,1.1216301,0.5671931,0.658782,1.1904914,0.8923022,1.2036072,0.9696639,1.2443295,0.79030484,0.9718007,1.1211195,1.1749384,0.7103157,1.1045302,0.9529176,0.5514524,1.0454208,0.9503329,0.44602966,0.7704665,0.99648094,0.9816242,1.168758,0.6575226,0.8656188,0.85231906,1.2816628,1.2662127,1.2302598,0.0,0.93294096,0.9009362,1.1407802,0.9555212,1.0357322,0.913964,1.1839423,1.2273278,1.3517954,1.1486983,0.85424304,1.1245627,1.1615672,1.1779908,0.94098693,0.71923065,1.1456906,1.1746188,0.90388244,0.787516,0.84682894,1.0615685,1.1503804,1.1661716,1.0263715,1.1325945,0.8665929,0.9353255,0.5538199,1.157152,0.81326115,0.719035,0.6835817,0.7200051,1.0213149,0.96419644,0.96306735,0.79772055,1.1604335,1.1263468,0.73295164,0.81079865,1.005392,1.1718003,0.965166,1.1438864,0.60212195,0.98525345,0.89185846,1.1647439,1.3233126,0.97801435,0.76080835,1.2475653,1.2615616,1.2493551,0.55816907,0.8533859,0.5706635
