category,cdi_category,bv_tsne_x,bv_tsne_y,things_tsne_x,things_tsne_y
airplane,vehicles,-1.5742344,-0.09511928,5.637483,9.952653
alligator,animals,-19.218073,5.786913,-2.1704588,21.171274
ankle,body_parts,-26.10303,-3.4771996,5.7896223,-10.423446
ant,animals,-22.539314,0.2805481,0.19281253,18.53006
apple,food_drink,-22.089663,-12.252544,20.437225,-15.099706
applesauce,food_drink,-7.3736925,-10.749791,26.756987,-12.921297
arm,body_parts,-13.87009,8.124675,3.6698384,-12.147857
ball,toys,-20.01213,-13.192037,2.7536168,4.6184883
balloon,toys,-19.929327,-12.7120695,2.418691,4.830856
banana,food_drink,-13.955479,-12.668697,21.969208,-16.005745
basket,household,-15.249376,-3.4964287,21.232183,3.0844562
bathtub,furniture_rooms,-7.9954123,3.917802,18.573826,3.2445467
bear,animals,-18.404425,8.849137,-2.4164267,24.266747
bed,furniture_rooms,-10.789312,7.7037063,20.492308,5.018483
bee,animals,-20.376963,2.0799396,1.0503871,18.581158
belt,clothing,-22.18943,-7.975819,23.82151,9.80846
bench,furniture_rooms,-11.538323,0.4234542,12.415635,5.3946
bib,clothing,-14.438091,9.178491,27.305086,4.508841
bird,animals,-23.29927,3.5570166,0.096767634,22.060644
blanket,household,-11.885806,8.107129,22.728617,4.7388906
boat,vehicles,-0.29502288,2.2924752,10.441186,6.529904
book,toys,-5.5583286,-3.314173,19.059814,-3.9198282
bottle,household,-18.282518,-8.467635,22.06178,-4.317968
bowl,household,-14.671438,-9.201581,22.65312,0.1652808
box,household,-6.028989,-3.5464206,15.329807,13.907585
bread,food_drink,-13.847348,-14.619369,30.839529,-14.305279
broom,household,-13.848558,-2.0250916,13.175937,-3.8019447
brush,household,-15.023585,-5.346565,14.626926,-3.5761018
bucket,household,-15.210504,-8.146931,12.218924,-0.6755919
bug,animals,-19.083172,3.4650493,0.057757724,19.131762
bus,vehicles,-6.3304005,6.987789,6.495759,10.814284
butter,food_drink,-15.493267,-14.089264,26.438885,-17.17793
butterfly,animals,-23.46494,1.9597899,2.0222843,19.689505
cake,food_drink,-10.034133,-10.948099,29.026962,-11.112742
can,household,-19.10572,-5.7799773,12.402621,-1.5082561
candy,food_drink,-18.572311,-13.8793745,21.096426,-10.04734
car,vehicles,-6.094075,0.14168693,9.918201,12.391429
carrot,food_drink,-23.983223,-5.3437366,20.783588,-17.030825
cat,animals,-18.89076,7.8036838,-4.7790074,19.582216
cereal,food_drink,-4.730798,-14.16163,25.46347,-13.91513
chair,furniture_rooms,-12.238275,0.520437,19.830717,7.455331
chalk,toys,-0.64559793,5.9126253,18.464935,-6.86218
cheese,food_drink,-15.529489,-14.978053,26.563227,-17.559181
chips,food_drink,-6.678207,-16.035133,27.397211,-15.667818
clock,household,-18.096956,-10.705534,18.666649,9.941608
closet,furniture_rooms,-10.262338,4.690918,19.097544,5.1640043
cloud,outside,-19.791086,-2.0784812,-0.07201613,-5.2171288
coat,clothing,-13.928744,11.431745,27.102003,10.619793
coffee,food_drink,-9.371662,-1.7633641,24.812742,-2.1818023
comb,household,-10.410871,-3.2087297,15.259845,-3.2276025
cookie,food_drink,-11.473437,-14.959066,28.66714,-13.984643
corn,food_drink,-12.98404,-13.88651,19.801752,-17.599508
couch,furniture_rooms,-10.372591,8.145178,20.485735,5.891874
cow,animals,-21.619457,7.8874235,-0.029839618,26.734098
cracker,food_drink,-9.405029,-15.584357,28.276136,-14.98296
crayon,toys,-21.043428,-7.68288,18.169472,-5.5441575
crib,furniture_rooms,-8.428576,5.385429,13.788649,9.550491
cup,household,-16.995205,-8.780842,23.326693,-1.0595299
deer,animals,-24.10333,6.431105,-0.81441504,24.191467
diaper,clothing,-15.9436,3.870865,27.622686,3.9460905
dish,household,-4.286399,-11.128701,21.83076,-0.19744273
dog,animals,-20.440825,7.98966,-4.8163395,19.565908
doll,toys,-17.604189,5.201576,30.307749,8.04338
door,furniture_rooms,-10.695495,3.7146733,16.591202,8.355269
drawer,furniture_rooms,-11.263646,-0.9402289,18.160303,6.0244303
dress,clothing,-12.759906,10.450825,28.58272,8.172005
drink,food_drink,-8.641644,-7.2736497,24.992323,-8.597777
dryer,furniture_rooms,-8.775047,3.3540208,15.52752,4.931528
duck,animals,-24.365004,3.1431594,0.7737604,22.484385
ear,body_parts,-27.970106,-5.9551497,4.684173,-14.618276
egg,food_drink,-22.910933,-12.60158,22.226284,-18.37245
elephant,animals,-17.94997,9.2261915,-4.373334,24.371048
eye,body_parts,-28.531202,-7.8402853,5.7605143,-15.856274
face,body_parts,-15.684844,15.150036,6.6798263,-13.313902
finger,body_parts,-27.895344,-4.6106973,3.2756698,-13.13415
firetruck,vehicles,-5.178612,6.53547,3.9987075,10.682897
fish,animals,-19.903109,-3.515137,0.4608256,20.6522
flag,outside,-20.777327,-5.9408464,5.022628,6.772822
flower,outside,-22.230251,-2.4156427,2.9770825,19.355488
foot,body_parts,-26.175581,-2.494183,6.0624557,-10.150336
fork,household,-16.925678,-5.3528514,18.81233,-0.8686583
frog,animals,-21.210669,3.3793063,-0.47967646,20.329964
game,toys,-1.7159678,5.0271277,-0.36519372,7.6791773
giraffe,animals,-10.415136,18.244644,-4.872868,23.383469
glass,household,-8.895669,-5.1226654,22.354357,-3.213599
glasses,household,-27.022455,-7.3695846,22.844446,9.553373
glove,clothing,-17.143362,2.3066297,23.984947,7.442263
glue,toys,-10.295974,-6.448097,17.733082,-8.870338
grass,outside,2.4249275,1.6483064,8.734214,0.54862297
gum,food_drink,-17.70383,-3.3905473,18.110357,-7.704959
hair,body_parts,-15.595627,14.966458,29.575579,11.818867
hamburger,food_drink,-10.29393,-13.161604,31.270615,-16.569004
hammer,household,-13.831142,-5.737,14.618481,-0.5059223
hand,body_parts,-14.631326,6.756234,3.5521998,-12.896661
hat,clothing,-23.418583,-7.2753887,24.15987,8.904104
helicopter,vehicles,4.5443826,7.971491,5.1030064,9.703688
horse,animals,-24.746763,7.121748,-2.324473,26.682188
hose,outside,-1.8181111,1.3318565,11.981,0.7044142
ice,food_drink,-5.593063,-9.561658,6.482364,-2.5557795
jacket,clothing,-13.310403,11.714038,26.077038,10.023916
jar,household,-9.268349,-7.71738,22.091877,-3.7899456
jeans,clothing,-15.1679125,11.554338,24.778004,10.8655205
juice,food_drink,-10.214075,-8.3820505,24.94132,-9.836371
knife,household,-16.940035,-5.895552,16.782526,-0.35367095
ladder,outside,-11.280511,1.6376147,11.391159,3.6479716
lamp,household,-18.134056,-6.8482666,19.173754,8.370182
leg,body_parts,-26.746403,-1.5652775,7.0592856,-10.821695
lollipop,food_drink,-20.48002,-12.024792,21.996824,-10.044225
meat,food_drink,-7.899208,-13.252182,27.55188,-18.793713
melon,food_drink,-12.784825,-12.29007,21.54912,-15.441889
milk,food_drink,-7.0507,-7.5627785,24.407732,-12.088748
mitten,clothing,-15.791839,5.7975326,25.471815,5.253139
money,household,-18.108433,-2.8673735,5.184615,5.956971
mop,household,-13.7076645,-2.6263683,12.880702,-3.9307606
motorcycle,vehicles,-5.273891,3.7372336,9.749606,11.372021
mouth,body_parts,-29.617609,-5.742058,6.5879903,-14.678249
muffin,food_drink,-9.664556,-13.652762,29.275127,-13.2259035
nail,household,-24.24586,-9.429185,14.916475,-1.4147092
napkin,household,-16.62184,-1.8280821,22.927956,3.0910397
necklace,clothing,-26.029392,-6.3414483,28.61597,6.816538
nose,body_parts,-28.178589,-6.8993597,6.2204113,-14.745187
nut,food_drink,-24.71663,-11.492002,23.844797,-15.121758
orange,food_drink,-22.611834,-13.233279,20.605867,-15.874323
oven,furniture_rooms,-9.53606,2.1285968,16.139204,4.2137403
owl,animals,-20.14945,5.511734,-1.0251,22.179552
pajamas,clothing,-13.536336,10.022478,27.550219,8.289071
pancake,food_drink,-8.919209,-12.879956,30.46887,-12.491809
pants,clothing,-15.718827,12.170929,25.594368,11.124872
paper,household,-4.772878,-3.3208272,15.978813,13.553578
pasta,food_drink,-5.1197777,-15.578579,28.32082,-16.517872
pastry,food_drink,-7.5688634,-14.927859,29.87032,-13.973691
pen,toys,-20.157415,-7.4943614,17.91948,-4.0862007
pencil,toys,-19.980898,-7.920455,17.856049,-4.52037
penguin,animals,-23.117231,4.2666674,-3.8827834,22.195402
pickle,food_drink,-15.79982,-13.188885,24.528894,-16.645838
pig,animals,-23.11199,7.723943,0.31344506,26.908707
pillow,household,-17.025387,-0.6923393,21.89575,4.908895
pizza,food_drink,-8.770072,-14.408969,29.424295,-17.131231
plant,household,-22.261032,-2.2864091,7.49332,0.3605891
plate,household,-11.817402,-11.109494,21.570856,-0.12882617
pony,animals,-24.101599,7.5185313,-2.2492683,26.728222
popcorn,food_drink,-8.47501,-10.488214,26.236496,-15.066875
popsicle,food_drink,-23.577108,-5.9280305,22.860151,-10.423427
potato,food_drink,-24.574097,-12.723261,21.988232,-17.531445
pretzel,food_drink,-9.868178,-12.208402,29.799318,-14.8988085
pudding,food_drink,-7.982809,-12.027289,26.208569,-12.295012
pumpkin,food_drink,-22.169306,-13.87093,19.046835,-15.370147
purse,household,-14.440245,1.0141498,26.454493,8.58696
radio,household,-16.663876,-7.5102277,14.973718,6.3782053
raisin,food_drink,-25.94168,-9.195664,24.318146,-15.04832
refrigerator,furniture_rooms,-9.949587,2.7651322,15.791044,4.347616
rock,outside,1.0672512,-2.5254729,7.6155653,-1.8005688
rooster,animals,-22.096653,4.9368744,1.4704252,25.445044
sandbox,outside,-0.58382386,6.1522856,8.645585,4.5492363
sandwich,food_drink,-7.7455463,-16.128683,31.1594,-15.832258
sauce,food_drink,-6.3863535,-12.403143,26.424374,-9.560603
scarf,clothing,-14.571497,10.302367,28.309864,9.8640585
scissors,household,-14.721276,-6.4160213,16.398926,-2.1485755
sheep,animals,-20.042454,9.161136,-0.5219686,27.196404
shirt,clothing,-14.23796,12.584979,25.537584,9.585888
shoe,clothing,-15.958558,1.7085317,25.413784,7.3590918
shorts,clothing,-16.40885,11.90686,24.97528,11.497526
shovel,outside,-14.234094,-4.9222183,13.934815,-0.21999316
shower,furniture_rooms,-9.793257,5.368802,18.586193,3.6382177
sink,furniture_rooms,-9.047846,-1.1992542,17.996647,3.1543224
sled,vehicles,0.03174929,3.4984171,11.534169,4.6944184
slide,outside,0.39257407,2.8058817,9.599719,4.01538
slipper,clothing,-24.065393,-7.207558,25.739252,6.7894583
snow,outside,0.24132133,-1.9053187,4.9319854,-2.8450885
snowman,outside,-20.539381,4.1787796,4.4795055,-2.9760365
snowsuit,clothing,-11.913999,11.513907,26.517658,12.173978
soap,household,-18.434807,-9.429466,18.09978,-8.571446
sock,clothing,-17.355736,1.4261426,25.15698,5.6220746
soda,food_drink,-8.192652,-6.622108,24.867672,-8.540893
soup,food_drink,-5.8216677,-13.042501,27.597967,-12.284375
spoon,household,-16.268692,-5.6086454,19.406313,-0.8189579
sprinkler,outside,-1.6247693,0.94812536,10.320234,0.7028056
squirrel,animals,-21.085152,6.4082646,-0.3378223,22.950792
stick,outside,-12.761831,-4.893082,8.390809,-1.0654149
strawberry,food_drink,-22.015087,-10.804155,20.901999,-14.447896
stroller,vehicles,-5.774531,4.0144677,12.525004,9.955399
sweater,clothing,-13.380245,12.899631,27.59683,10.105919
swing,outside,1.6184932,2.1866288,9.817823,3.834582
table,furniture_rooms,-2.298214,6.441172,19.250542,7.158084
tape,household,-16.397343,-10.425185,16.693161,-7.4452915
tiger,animals,-22.132282,6.398228,-3.6018772,23.502846
toast,food_drink,-9.07222,-17.122866,31.76436,-14.878162
toe,body_parts,-27.24232,-5.135317,6.316685,-9.592145
tooth,body_parts,-25.110945,-5.9189396,7.835903,-14.989945
toothbrush,household,-11.376422,-3.8951402,15.508419,-4.920992
towel,household,-16.587095,-1.4882541,23.097149,3.9495919
toy,toys,-12.6978655,-8.066707,0.6005815,7.5649757
tractor,vehicles,-4.353841,1.9178587,7.358027,12.290791
train,vehicles,-6.811799,7.153389,6.053655,11.504041
tray,household,-4.9158278,-5.4231215,18.243942,6.423701
tree,outside,3.3442547,1.3643106,6.3007298,1.1344763
tricycle,vehicles,-4.371353,2.48863,11.698328,10.145757
truck,vehicles,-5.3702574,0.645166,6.7480106,11.991895
turkey,animals,-16.687279,7.7599926,1.7814698,25.08762
vacuum,household,-13.419681,-1.0038505,12.007355,-4.423717
watch,household,-24.543196,-8.085965,21.795261,11.151023
window,furniture_rooms,-11.649134,4.0014067,16.497345,8.3147745
wolf,animals,-21.926277,2.512247,-1.9580986,24.101664
yogurt,food_drink,-7.8143835,-9.259359,25.829807,-12.457409
zebra,animals,-10.919622,18.266338,-5.015527,23.509682
