class_name,cdi_category,tsne_x,tsne_y,exemplar_count
alligator,animals,2.7110217,-3.0562859,260
ankle,body_parts,7.2805314,6.421286,199
apple,food_drink,-3.670007,11.576737,265
applesauce,food_drink,3.2776804,3.8261142,94
arm,body_parts,9.188348,0.076948844,256
ball,toys,-4.6655536,12.717748,266
balloon,toys,-4.6690297,12.682542,266
banana,food_drink,1.3571112,3.9423823,260
basket,household,-7.7607684,0.2478743,266
bathtub,furniture_rooms,-6.6353517,-3.8516665,262
bear,animals,6.8998904,-4.1363544,102
bed,furniture_rooms,-6.7573743,-7.355008,266
belt,clothing,0.63433105,8.8641815,262
bench,furniture_rooms,-7.573205,-6.400497,266
bib,clothing,8.5617695,-0.8908835,266
bird,animals,0.9351913,-3.8451033,227
blanket,household,7.0267096,-2.1105628,266
boat,vehicles,-4.401178,-3.9463644,218
book,toys,-6.1068845,-1.0085942,266
bottle,household,-6.310422,5.85235,266
bowl,household,-4.5541286,4.593232,266
box,household,-7.453223,-0.8538635,266
bread,food_drink,2.3891373,2.1549387,257
broom,household,-10.146363,-4.481363,196
bucket,household,-6.8321114,3.9311004,266
butterfly,animals,0.4066433,-2.9609232,186
can,household,-7.124044,3.0861022,266
car,vehicles,-2.9099045,-6.334936,265
carrot,food_drink,-0.5417906,6.032396,235
cat,animals,5.181287,-3.2191336,265
chair,furniture_rooms,-8.086878,-5.9989414,266
chips,food_drink,6.5572033,-8.699536,84
clock,household,-7.470774,7.9582253,262
closet,furniture_rooms,-8.753205,-10.365185,233
cloud,outside,-0.26066667,-8.157804,13
coat,clothing,10.449816,-2.5838985,130
coffee,food_drink,-4.9697556,3.6138213,189
comb,household,-0.2916671,0.50741357,234
cookie,food_drink,1.4812067,1.5644227,177
corn,food_drink,1.1996242,3.184036,113
couch,furniture_rooms,-6.593667,-8.114582,266
cracker,food_drink,3.0243797,0.89984655,248
crayon,toys,-1.6169324,7.826525,266
crib,furniture_rooms,-8.176041,-7.2082334,265
cup,household,-5.6431317,5.504444,266
deer,animals,1.7300235,-5.4948993,83
dish,household,-2.9057872,4.2363386,152
dog,animals,3.3873155,-3.7225928,266
doll,toys,2.4631145,-1.5640354,265
door,furniture_rooms,-8.565607,-10.471514,265
drawer,furniture_rooms,-9.30877,-1.0123955,262
dress,clothing,10.42819,-1.1512164,228
duck,animals,0.2596501,-4.3306174,45
ear,body_parts,3.2004552,10.658909,183
egg,food_drink,-4.9638286,11.435556,246
elephant,animals,7.3692775,-3.7911706,193
eye,body_parts,1.3499055,12.702684,107
face,body_parts,12.804268,-3.5156214,248
finger,body_parts,6.37155,8.413315,263
firetruck,vehicles,-3.8774254,-7.2090015,86
fish,animals,-0.59860724,3.2712157,263
flower,outside,-2.5282974,-9.5700445,266
foot,body_parts,7.6783175,6.482467,215
fork,household,-2.0837226,2.4199548,253
frog,animals,1.3490055,-2.5481124,265
game,toys,0.28169635,-10.767987,32
giraffe,animals,4.2757735,-5.3452764,53
glass,household,-3.7366362,-2.0272045,251
glasses,household,2.0817707,10.058846,266
glove,clothing,5.9289317,3.1101975,265
grass,outside,7.6893883,-5.5612907,149
gum,food_drink,-0.5265904,4.798963,265
hair,body_parts,12.770617,-3.4866748,263
hamburger,food_drink,3.4577317,1.6211274,176
hand,body_parts,7.189569,1.9749385,266
hat,clothing,0.4608412,7.5980654,266
helicopter,vehicles,-1.9162229,-4.584482,41
horse,animals,2.6296287,-5.539001,222
hose,outside,-2.6685388,-2.918118,204
jacket,clothing,9.575312,-2.2530658,249
jar,household,-7.8153167,4.7852664,212
jeans,clothing,10.649968,0.095549494,257
knife,household,-2.1660748,1.4804902,264
ladder,outside,-9.063868,-6.8159785,259
lamp,household,-7.9761834,7.7945094,266
leg,body_parts,9.548925,2.4578426,117
meat,food_drink,3.9988914,-0.23804273,154
melon,food_drink,1.685102,4.625999,232
milk,food_drink,-9.039772,4.324166,185
mitten,clothing,5.983601,2.5175786,264
mop,household,-10.593867,-4.9139175,49
motorcycle,vehicles,-12.111372,-3.3672948,216
mouth,body_parts,2.9077988,12.565531,150
muffin,food_drink,2.4928212,1.5613444,209
nail,household,-1.3653489,10.656733,263
napkin,household,-5.4604416,1.5792642,266
necklace,clothing,1.5615594,9.496517,261
nose,body_parts,1.9331876,12.307795,211
orange,food_drink,-4.2349153,10.821785,254
oven,furniture_rooms,-11.167042,-9.356303,260
owl,animals,3.4970636,-2.5400684,221
pajamas,clothing,9.571499,-0.7454774,262
pants,clothing,11.567356,0.122991994,256
paper,household,-5.871073,-1.1192602,265
pasta,food_drink,7.1349096,-9.379016,11
pastry,food_drink,1.9446306,0.6859853,54
pen,toys,-2.1372104,7.6516438,265
pencil,toys,-2.1418874,7.4228854,265
penguin,animals,0.33430842,-4.9558644,89
pickle,food_drink,1.2335043,4.734284,204
pig,animals,2.7560115,-6.5978093,107
pillow,household,-4.792454,0.8627097,266
pizza,food_drink,3.6556764,0.5760629,225
plant,household,-2.6614478,-9.736596,263
plate,household,-3.8096871,3.9907236,266
pony,animals,2.1990974,-6.2687817,175
potato,food_drink,-5.511678,10.695476,62
pumpkin,food_drink,-3.918603,10.1287,238
purse,household,-6.768071,0.71258307,266
radio,household,-8.051933,2.302634,251
raisin,food_drink,-0.94905615,11.651086,111
refrigerator,furniture_rooms,-10.957122,-9.426616,264
rock,outside,7.050331,-4.820217,108
rooster,animals,1.5038685,-3.9893656,247
sandwich,food_drink,4.6997666,0.40368712,81
sauce,food_drink,3.3282614,6.2016435,84
scarf,clothing,8.99708,-1.7192312,202
scissors,household,-1.7109139,-0.7413009,265
shirt,clothing,11.361157,-1.7024816,266
shoe,clothing,6.7495,4.350026,262
shorts,clothing,11.916773,0.71380454,232
shovel,outside,-2.4111834,0.9975167,248
shower,furniture_rooms,-9.144334,-11.326619,185
sink,furniture_rooms,-6.693528,-2.9206629,266
slide,outside,-4.983534,-4.6926384,245
slipper,clothing,-0.26709706,8.875402,266
snow,outside,8.081571,-5.2377787,183
soap,household,-5.3558197,7.005659,213
sock,clothing,7.299006,5.372082,250
soup,food_drink,3.359905,6.174376,171
spoon,household,-2.576131,2.1568637,257
sprinkler,outside,-2.032861,-1.69151,216
stick,outside,-2.8355253,0.02155866,79
strawberry,food_drink,-2.7243834,11.928352,201
stroller,vehicles,-12.078132,-3.4564047,243
sweater,clothing,10.799475,-1.9014711,255
swing,outside,-4.7164793,-5.227032,55
table,furniture_rooms,-6.5509343,-5.6625757,266
tape,household,-4.598945,6.0260224,264
toast,food_drink,4.15697,-9.4370575,9
toe,body_parts,6.8764477,7.6423273,264
tooth,body_parts,0.8072699,10.908779,244
toothbrush,household,-1.6252238,-0.14259294,263
towel,household,-5.4653754,1.483717,266
toy,toys,-0.120805554,-1.0832039,266
tray,household,-5.3199344,-2.5438197,264
tree,outside,-1.1483798,-7.5841417,186
tricycle,vehicles,-12.835997,-3.090566,53
truck,vehicles,-3.0932705,-6.6970334,147
vacuum,household,-9.930885,-4.232237,265
watch,household,0.022778578,9.665671,264
window,furniture_rooms,-7.5316525,-10.731798,264
zebra,animals,4.7618856,-5.842664,49
